method,sequences,mean_delta_ao,median_delta_ao,ci_low,ci_high,improved_sequences,degraded_sequences,unchanged_sequences,top5_loss_share,worst_sequence,worst_delta_ao,best_sequence,best_delta_ao
TRM-FAR,180,-0.008227761569911935,-0.003930584643767998,-0.01968409070277091,0.004002188497544949,70,110,0,0.3376108168321853,GOT-10k_Val_000042,-0.33951630476295513,GOT-10k_Val_000080,0.6688105174747812
Counterfactual agreement,180,-0.01999528684251589,-0.0046594186416740735,-0.03772051863311948,-0.0033060865310146556,77,103,0,0.35258910656923476,GOT-10k_Val_000108,-0.7647129302527966,GOT-10k_Val_000080,0.6058058044402744
Stable-anchor recovery,180,-0.03203802815234101,-0.0072627135763278505,-0.050859501451463326,-0.015028102518617675,66,114,0,0.33544417954485906,GOT-10k_Val_000108,-0.7667221955114393,GOT-10k_Val_000080,0.4722427659391445
Logarithmic sampler,180,-0.002730120544770807,-0.0005336719774158283,-0.010558403552317184,0.004046021188791225,84,96,0,0.5588735100757554,GOT-10k_Val_000071,-0.42279483119580474,GOT-10k_Val_000161,0.2533775361902257
