stratum,frames,mean_delta_iou,median_delta_iou,positive_fraction,ci_low,ci_high
all_selection_frames,7955,-0.0011707341309983078,0.0,0.26825895663104965,-0.014158436813087686,0.011442239375567641
high_entropy_q85,1339,0.009409226854083366,0.0,0.38536221060492903,-0.017324850522732662,0.040716538278582175
low_entropy_q85,6616,-0.003311992861201508,0.0,0.24455864570737607,-0.014908114325378072,0.006162877711344482
high_disagreement_q85,1272,0.008231174515733913,0.0,0.37971698113207547,-0.016408431046532078,0.03305968733242433
low_disagreement_q85,6683,-0.0029602340260519357,0.0,0.24704474038605417,-0.014952700063514752,0.007676872332754439
CSPP_changed_frames,4487,-0.0020755939407380328,0.0,0.475596166703811,-0.025566069140727624,0.020477651530028142
CSPP_unchanged_frames,3468,0.0,0.0,0.0,0.0,0.0
